ID,RA,DEC,Scale Factor
12043-6225,12.073,-62.428,1.25E-16
12063-6259,12.106,-62.987,2.97E-16
12073-6233,12.123,-62.554,3.13E-15
12148-6741,12.247,-67.683,1.73E-15
12216-6218,12.36,-62.303,2.18E-16
12226+0102,12.378,1.046,4.84E-16
12230-5943,12.384,-59.725,5.64E-16
12233-5920,12.389,-59.346,5.29E-16
12247-5842,12.412,-58.716,5.56E-16
12274-7647,12.457,-76.788,4.75E-16
12277+0441,12.463,4.693,1.35E-15
12283-5650,12.473,-56.836,7.92E-15
12298-5754,12.498,-57.916,6.64E-16
12319-6728,12.533,-67.481,1.11E-15
12377-6102,12.629,-61.049,5.50E-16
12379-4959,12.632,-49.996,3.76E-16
12380+5607,12.634,56.122,1.18E-15
12384-4536,12.642,-45.616,6.33E-16
12394-4338,12.657,-43.644,9.41E-16
12421-6217,12.702,-62.286,2.87E-16
12427+4542,12.713,45.713,1.87E-15
12447+0425,12.746,4.418,1.31E-15
12454-6659,12.757,-67,2.81E-16
12462-6418,12.77,-64.309,4.83E-16
12506-6004,12.845,-60.079,4.09E-16
12530+0340,12.885,3.668,1.42E-15
12540-6845,12.9,-68.761,1.11E-15
12559-6041,12.933,-60.691,3.14E-16
12563-6100,12.938,-61.009,3.47E-16
13001+0527,13.002,5.454,2.42E-15
13022-7650,13.037,-76.84,2.57E-16
13064-6103,13.107,-61.061,2.16E-16
13136-4426,13.227,-44.441,3.45E-16
13141-6119,13.237,-61.321,2.51E-16
13170-5404,13.285,-54.072,1.89E-16
13172+4547,13.288,45.789,5.32E-16
13203-5536,13.339,-55.616,4.98E-16
13208-6027,13.348,-60.464,2.37E-16
13283-5839,13.472,-58.663,2.68E-16
13328-6244,13.548,-62.734,5.07E-16
13343-5807,13.573,-58.132,3.39E-16
13350-7221,13.584,-72.364,1.23E-16
13368-4941,13.615,-49.698,1.14E-15
13371-6249,13.619,-62.827,3.31E-16
13379-5426,13.633,-54.442,2.46E-16
13442-6109,13.738,-61.158,1.35E-15
13462-2807,13.77,-28.12,3.38E-14
13465-3412,13.776,-34.202,2.04E-15
13477-6532,13.796,-65.535,5.79E-16
13482-6716,13.804,-67.269,5.68E-16
13509-6348,13.849,-63.812,3.60E-16
13517-6515,13.863,-65.265,4.03E-16
13527-6117,13.879,-61.291,3.43E-16
13557-6442,13.929,-64.712,1.45E-16
13572-6347,13.953,-63.795,3.40E-16
13581-5930,13.969,-59.502,6.24E-16
14003-7633,14.006,-76.556,3.82E-15
14020-3515,14.034,-35.258,1.00E-15
14030-4629,14.052,-46.485,1.67E-16
14068-6158,14.115,-61.977,3.68E-16
14086-2839,14.145,-28.651,3.54E-16
14086-6907,14.145,-69.118,3.50E-16
14119-6453,14.199,-64.898,2.20E-16
14122-6133,14.204,-61.563,1.71E-16
14129-5940,14.216,-59.682,1.15E-15
14133+1925,14.222,19.424,6.27E-15
14159-6038,14.265,-60.635,1.06E-16
14182-6144,14.304,-61.736,1.43E-16
14216-6152,14.361,-61.869,3.33E-16
14247+0454,14.413,4.902,4.69E-16
14251-6256,14.419,-62.934,3.99E-16
14277+3904,14.462,39.083,2.58E-16
14280-2952,14.467,-29.876,1.05E-15
14286-5905,14.477,-59.094,2.72E-16
14301-5734,14.502,-57.567,2.72E-16
14337-6215,14.563,-62.255,2.71E-16
14359-6037,14.599,-60.623,2.12E-15
14371+3245,14.619,32.754,5.48E-16
14390+3147,14.652,31.785,3.39E-16
14437+1520,14.729,15.341,8.77E-16
14453-4920,14.755,-49.349,2.55E-16
14455-3625,14.759,-36.426,6.89E-16
14465-6000,14.776,-60.013,1.69E-16
14484-6152,14.807,-61.867,2.68E-15
14508+7421,14.847,74.363,1.39E-15
14531-5337,14.886,-53.627,5.67E-16
14550-1214,14.917,-12.236,4.82E-16
14562-5406,14.938,-54.104,4.49E-16
14567+6607,14.946,66.132,1.10E-15
14567-5846,14.946,-58.773,1.91E-16
14582-5926,14.971,-59.441,6.38E-16
14591-4438,14.987,-44.641,1.25E-15
15011-2505,15.019,-25.086,1.57E-15
15023-6916,15.039,-69.282,3.43E-16
15082-4808,15.137,-48.146,3.63E-15
15084-5702,15.14,-57.036,3.52E-16
15099-5509,15.166,-55.158,1.18E-15
15107-5726,15.18,-57.441,3.46E-16
15148-4940,15.247,-49.669,9.20E-16
15186-3604,15.31,-36.082,3.87E-16
15186-5730,15.31,-57.513,1.45E-16
15193+1429,15.322,14.493,1.92E-16
15193+3132,15.322,31.546,8.63E-16
15214-2244,15.357,-22.735,8.24E-16
15219-7545,15.367,-75.755,1.96E-16
15223-0203,15.372,-2.059,5.29E-16
15225-5605,15.376,-56.091,3.21E-16
15226-3603,15.377,-36.057,7.29E-16
15255+1944,15.426,19.736,8.25E-16
15269-4400,15.45,-44.005,2.80E-16
15287-5811,15.48,-58.184,8.64E-16
15290-5546,15.484,-55.768,1.99E-16
15311-5538,15.52,-55.649,1.76E-16
15314+7847,15.523,78.798,6.47E-16
15323-4920,15.539,-49.343,2.87E-16
15332-6430,15.555,-64.511,2.95E-16
15341+1515,15.569,15.265,1.29E-15
15356-6722,15.593,-67.377,2.25E-16
15361+2441,15.602,24.685,6.66E-16
15373-5308,15.622,-53.144,2.05E-16
15402-5449,15.67,-54.83,3.26E-16
15408-5413,15.68,-54.228,5.73E-16
15410-0133,15.683,-1.553,6.00E-16
15468-5018,15.781,-50.316,1.65E-16
15483+1517,15.806,15.284,8.76E-16
15483-5514,15.806,-55.246,3.22E-16
15492+4837,15.821,48.632,1.14E-15
15509-5207,15.85,-52.128,2.68E-16
15530-5201,15.884,-52.02,3.10E-16
15566+3609,15.944,36.163,2.15E-16
15568-4513,15.947,-45.231,7.27E-16
15569-6135,15.949,-61.586,1.57E-16
15576-5400,15.961,-54.003,1.41E-15
16011+4722,16.019,47.377,2.16E-15
16011-5424,16.019,-54.406,2.76E-16
16029-3041,16.05,-30.692,6.26E-16
16030-5156,16.051,-51.942,4.83E-16
16031-4856,16.052,-48.94,3.46E-16
16064-4200,16.108,-42.013,2.47E-16
16066-4427,16.112,-44.461,2.18E-16
16077-5830,16.128,-58.509,1.67E-16
16079-4812,16.132,-48.202,6.48E-16
16081+2511,16.136,25.2,6.84E-16
16105-4205,16.176,-42.091,2.77E-15
16117-0334,16.195,-3.568,1.39E-15
16127-7834,16.213,-78.574,9.60E-16
16133-5151,16.223,-51.863,2.98E-16
16156-5613,16.26,-56.231,2.87E-16
16171-4759,16.286,-47.996,2.69E-16
16175-6120,16.293,-61.335,1.71E-16
16192-4900,16.322,-49.004,3.50E-16
16208-2215,16.348,-22.254,2.70E-16
16218-4701,16.365,-47.018,2.26E-16
16219-5048,16.365,-50.815,7.46E-16
16222-4738,16.371,-47.639,4.38E-16
16229-4947,16.382,-49.795,1.80E-16
16235+1900,16.393,19.004,1.71E-15
16260+3454,16.434,34.912,2.74E-16
16263-5533,16.44,-55.559,3.20E-16
16269+4159,16.45,41.99,2.81E-15
16270-5213,16.451,-52.22,1.58E-16
16279-4709,16.466,-47.159,2.29E-16
16280-4154,16.467,-41.915,1.89E-16
16296-4417,16.495,-44.293,1.63E-16
16306+7223,16.51,72.387,5.60E-16
16316-5026,16.528,-50.434,3.38E-16
16327-4848,16.546,-48.809,5.17E-16
16328-4656,16.547,-46.949,2.63E-16
16334-3107,16.557,-31.133,3.32E-16
16337-4525,16.563,-45.424,3.03E-16
16340-4634,16.567,-46.578,2.04E-15
16387-2700,16.645,-27.011,3.03E-16
16396-4429,16.661,-44.495,2.73E-16
16407-5639,16.679,-56.658,2.09E-16
16418+5459,16.698,54.996,5.74E-16
16433-6856,16.722,-68.939,1.31E-15
16438-1133,16.731,-11.559,7.01E-16
16446-4243,16.744,-42.732,1.77E-16
16451-4312,16.753,-43.206,1.85E-16
16460-4022,16.768,-40.374,1.89E-15
16473+5753,16.79,57.899,3.62E-16
16478-4322,16.798,-43.377,4.97E-16
16490-4618,16.818,-46.316,4.13E-16
16494-1252,16.823,-12.868,3.23E-16
16498-4143,16.831,-41.726,1.91E-16
16534-3030,16.891,-30.502,1.05E-15
16541-4901,16.902,-49.033,1.62E-16
16545-4214,16.91,-42.247,1.53E-15
16546-4057,16.911,-40.962,3.92E-16
16559-2557,16.932,-25.956,1.98E-16
16571-7548,16.953,-75.81,2.02E-16
16581-4058,16.969,-40.979,2.87E-16
16586-4142,16.977,-41.709,4.35E-16
16589-3315,16.982,-33.254,2.21E-16
16598-4117,16.998,-41.296,3.76E-16
17001-3651,17.003,-36.85,9.10E-16
17010-4323,17.018,-43.398,5.01E-16
17025-4719,17.043,-47.33,3.27E-16
17047-5650,17.08,-56.849,8.49E-16
17048-1601,17.082,-16.029,4.50E-16
17049-2440,17.082,-24.678,6.85E-15
17050-4123,17.084,-41.39,3.41E-16
17066-4028,17.111,-40.476,6.64E-16
17079-3243,17.133,-32.725,8.78E-16
17080-3215,17.134,-32.265,2.38E-15
17081+6422,17.135,64.381,3.65E-16
17102-1031,17.171,-10.52,6.63E-16
17103-0559,17.172,-5.991,3.28E-16
17103-3551,17.172,-35.865,3.58E-16
17103-3702,17.173,-37.046,5.24E-16
17104-3146,17.174,-31.781,3.31E-16
17105-3746,17.177,-37.78,4.34E-16
17109-3942,17.183,-39.71,2.68E-16
17115-3322,17.193,-33.376,4.35E-16
17119+0859,17.199,8.99,1.87E-15
17122-2707,17.204,-27.122,3.47E-16
17123+1107,17.205,11.125,3.88E-16
17125-4814,17.209,-48.234,2.64E-16
17139+0446,17.233,4.775,2.25E-16
17139-3746,17.233,-37.771,3.29E-16
17162-1934,17.271,-19.579,3.44E-16
17174-4641,17.29,-46.686,3.71E-16
17187-3750,17.313,-37.839,9.82E-16
17190+2658,17.318,26.978,1.54E-16
17199-3512,17.333,-35.215,5.02E-16
17201-4613,17.336,-46.231,4.29E-16
17213-2219,17.355,-22.319,1.40E-16
17217-3916,17.363,-39.278,4.85E-16
17237-3102,17.395,-31.049,3.24E-16
17239-2812,17.399,-28.217,4.02E-16
17265-0725,17.442,-7.425,5.39E-16
17297+1747,17.495,17.791,2.01E-15
17309-1724,17.516,-17.405,3.82E-16
17315-3414,17.525,-34.244,4.12E-16
17317-3331,17.529,-33.526,8.69E-16
17318-2342,17.53,-23.7,2.18E-16
17319-6234,17.532,-62.568,6.93E-16
17328-3327,17.548,-33.464,3.33E-15
17334+1537,17.557,15.617,6.52E-16
17341-3453,17.569,-34.891,8.76E-16
17343+1052,17.573,10.881,1.47E-16
17361+5746,17.603,57.768,3.10E-16
17375-3652,17.625,-36.869,8.32E-16
17381-3442,17.635,-34.716,2.75E-16
17382-1704,17.637,-17.076,1.09E-16
17387-4343,17.646,-43.728,4.15E-16
17389-2045,17.649,-20.762,3.80E-16
17389-5742,17.65,-57.701,5.34E-16
17398-4344,17.664,-43.746,2.38E-16
17433-2523,17.722,-25.399,2.92E-16
17434-3414,17.725,-34.234,2.53E-16
17443-2519,17.74,-25.321,2.26E-16
17446-7809,17.745,-78.164,1.95E-15
17462-8647,17.771,-86.795,1.71E-16
17479-2927,17.8,-29.457,2.70E-16
17484-0800,17.807,-8.009,7.21E-16
17488-2800,17.814,-28.011,9.86E-16
17504-0234,17.841,-2.569,4.29E-16
17505-3143,17.842,-31.731,3.76E-16
17508-3419,17.848,-34.332,2.51E-16
17513-2313,17.857,-23.227,9.61E-16
17534-3030,17.89,-30.507,6.47E-16
17540-1919,17.902,-19.333,4.08E-16
17541+1110,17.903,11.175,2.21E-16
17554+5129,17.924,51.493,1.40E-15
17556+5813,17.927,58.223,9.43E-16
17570-3713,17.951,-37.22,4.08E-16
17579+2335,17.966,23.594,2.95E-16
17581-1744,17.97,-17.739,2.59E-16
18018-2802,18.031,-28.036,6.08E-16
18027-2314,18.046,-23.241,1.15E-16
18039-0813,18.066,-8.227,2.89E-16
18040-0941,18.068,-9.694,1.55E-15
18041-3317,18.069,-33.283,4.76E-16
18057-2616,18.096,-26.281,2.74E-16
18076+3445,18.127,34.761,1.91E-16
18076-1034,18.127,-10.583,6.11E-16
18083-2630,18.139,-26.504,7.34E-16
18092-0437,18.155,-4.619,4.99E-16
18095+2704,18.159,27.074,1.58E-16
18135-1456,18.226,-14.939,1.22E-16
18135-1740,18.225,-17.669,8.36E-16
18136-1859,18.227,-18.997,9.39E-16
18142-3646,18.237,-36.78,1.78E-15
18156-0653,18.26,-6.885,5.84E-16
18157+1757,18.262,17.96,4.64E-16
18162-0246,18.27,-2.779,2.62E-16
18176-1848,18.295,-18.809,2.23E-16
18177-2951,18.297,-29.851,6.72E-16
18186+3143,18.31,31.732,3.13E-16
18213+0335,18.356,3.595,3.99E-16
18222+3933,18.371,39.556,2.23E-16
18230+0544,18.384,5.738,4.16E-16
18239-0655,18.399,-6.932,9.85E-16
18240+2326,18.4,23.448,2.55E-15
18257-1000,18.429,-10.004,4.51E-16
18267-0606,18.446,-6.111,3.77E-16
18273-0738,18.457,-7.649,2.26E-16
18276+8236,18.46,82.615,2.68E-16
18276-4717,18.46,-47.297,1.11E-15
18280-5639,18.468,-56.653,6.98E-16
18281+2149,18.469,21.831,1.41E-16
18301-0656,18.502,-6.934,2.46E-16
18303-0519,18.506,-5.328,2.57E-16
18306+3657,18.51,36.96,6.10E-16
18314-1131,18.524,-11.532,4.96E-16
18316-0602,18.527,-6.036,2.93E-16
18320-0352,18.533,-3.878,2.81E-16
18325-1138,18.543,-11.642,1.63E-16
18333+0533,18.555,5.556,8.96E-16
18349+1023,18.583,10.384,1.45E-15
18359+0847,18.599,8.789,2.03E-15
18367-0452,18.612,-4.872,3.72E-16
18373-0021,18.623,-0.359,4.18E-16
18378-3731,18.631,-37.533,3.98E-16
18397+1738,18.662,17.636,3.47E-15
18398-0220,18.663,-2.341,3.10E-15
18401+2854,18.669,28.908,3.80E-16
18413+1354,18.689,13.905,9.59E-16
18414-0527,18.691,-5.457,1.72E-16
18421+1147,18.703,11.786,2.53E-16
18429-1721,18.716,-17.354,4.24E-16
18450-0922,18.751,-9.379,2.91E-16
18451-0824,18.753,-8.414,3.87E-16
18464-0656,18.775,-6.943,3.15E-16
18467-4802,18.779,-48.045,9.46E-16
18475+0926,18.792,9.443,9.43E-16
18476+0555,18.794,5.932,1.66E-16
18527+3650,18.879,36.834,1.19E-15
18530+0817,18.883,8.288,1.70E-16
18531+0016,18.886,0.281,2.43E-16
18535+0726,18.892,7.442,1.64E-16
18537-1035,18.896,-10.591,4.04E-16
18550+0130,18.917,1.514,2.41E-16
18551+0323,18.919,3.389,6.49E-16
18551+1345,18.919,13.751,2.91E-16
18556+0811,18.928,8.189,4.91E-16
18560+0638,18.934,6.647,1.11E-15
19007-2247,19.012,-22.786,7.48E-16
19007-3826,19.013,-38.444,6.47E-16
19008+0726,19.015,7.438,2.13E-15
19017-0545,19.029,-5.761,9.62E-16
19029+0808,19.049,8.14,3.52E-16
19032-4602,19.055,-46.049,4.96E-16
19042-4858,19.071,-48.983,8.31E-16
19043+1009,19.073,10.164,2.22E-16
19059-2219,19.099,-22.319,1.08E-15
19075+0921,19.126,9.366,4.19E-16
19093-3256,19.156,-32.935,1.55E-15
19099+6711,19.166,67.194,1.45E-16
19135+0931,19.225,9.526,8.19E-16
19143-5032,19.24,-50.539,5.24E-16
19157-1706,19.263,-17.109,4.32E-16
19161+2343,19.269,23.732,4.79E-16
19178-2620,19.298,-26.338,4.44E-16
19188-1603,19.314,-16.051,5.38E-16
19192+0922,19.32,9.369,6.10E-16
19194+1734,19.324,17.571,7.57E-16
19229+1708,19.383,17.147,1.88E-16
19232+5008,19.387,50.142,2.18E-15
19240+3615,19.401,36.257,3.98E-16
19247-1722,19.413,-17.369,3.33E-16
19282+2253,19.47,22.894,1.13E-16
19283+1944,19.472,19.739,5.44E-16
19287+4602,19.479,46.04,4.41E-16
19296+4331,19.494,43.529,4.05E-16
19314-1629,19.524,-16.485,4.98E-16
19321+2757,19.536,27.958,1.58E-15
19324+3033,19.541,30.551,2.13E-16
19327+3024,19.546,30.405,3.36E-16
19352+2030,19.587,20.502,2.47E-16
19354+5005,19.591,50.086,5.93E-16
19361-1658,19.603,-16.981,3.65E-16
19396+1637,19.661,16.626,5.29E-16
19412+0337,19.688,3.621,5.30E-16
19422+3506,19.704,35.114,7.73E-16
19451+1824,19.753,18.409,9.51E-16
19472+2127,19.788,21.451,1.50E-16
19474-0744,19.79,-7.742,1.85E-15
19480+2447,19.801,24.795,4.19E-16
19495+0835,19.826,8.586,2.66E-16
19500-1709,19.834,-17.161,9.95E-17
19503+2219,19.839,22.324,8.84E-16
19510-5919,19.85,-59.327,2.17E-15
19528-2919,19.881,-29.323,6.21E-16
19536+3237,19.895,32.626,4.56E-16
19537+2212,19.897,22.216,4.21E-16
19548+3035,19.914,30.598,2.91E-16
19550-0201,19.917,-2.022,1.36E-15
19575-5930,19.959,-59.515,1.75E-15
19585+5200,19.976,52.011,3.21E-16
19586+3637,19.978,36.631,4.41E-16
19594+4047,19.99,40.787,1.68E-15
19595-2751,19.993,-27.852,8.85E-16
20010+3011,20.018,30.196,2.30E-16
20015+3019,20.026,30.323,6.73E-16
20024+3330,20.041,33.507,2.18E-16
20028+3910,20.047,39.167,1.46E-16
20038-2722,20.064,-27.37,2.32E-15
20042-4241,20.071,-42.685,9.09E-16
20052+0554,20.088,5.908,4.94E-16
20072+3116,20.121,31.281,8.05E-16
20075-6005,20.126,-60.087,1.49E-15
20094-1121,20.158,-11.357,2.92E-16
20111-4708,20.186,-47.135,2.59E-16
20113+4917,20.189,49.299,4.59E-16
20124+6605,20.207,66.093,2.68E-16
20135-7152,20.227,-71.881,7.12E-16
20161-1600,20.269,-16.014,2.15E-16
20165+3413,20.277,34.23,3.67E-16
20171+3519,20.285,35.322,2.44E-16
20193+3527,20.322,35.459,1.84E-16
20194+3646,20.325,36.772,1.35E-15
20200+3624,20.333,36.4,1.93E-16
20215+6243,20.359,62.722,1.51E-16
20248+7505,20.415,75.09,5.42E-16
20248-2825,20.414,-28.428,2.94E-15
20253+3814,20.423,38.247,2.24E-16
20255+4054,20.427,40.914,2.24E-16
20267+2105,20.445,21.093,2.95E-16
20275+4001,20.46,40.019,2.51E-15
20297+3221,20.496,32.351,1.67E-16
20310+4029,20.517,40.494,7.71E-16
20318+3829,20.531,38.5,3.05E-16
20340+5338,20.568,53.648,4.34E-16
20350+3741,20.584,37.699,4.95E-16
20356+1805,20.594,18.092,1.34E-15
20365+1154,20.61,11.916,1.48E-16
20396+4757,20.661,47.962,3.21E-15
20403+3700,20.673,37.014,2.63E-16
20417-0500,20.696,-5.015,1.80E-16
20431+1754,20.72,17.907,7.31E-16
20435+3825,20.725,38.423,6.83E-16
20440-0105,20.734,-1.087,6.75E-16
20479+0554,20.799,5.906,1.86E-16
20484-7202,20.808,-72.047,4.49E-16
20491+4236,20.819,42.613,2.18E-16
20502+4709,20.837,47.166,4.38E-16
20529+3013,20.883,30.222,8.94E-16
20532+5554,20.888,55.902,3.13E-16
20541-6549,20.902,-65.829,7.30E-16
20549+5245,20.915,52.757,2.67E-16
20570+2714,20.95,27.249,1.44E-15
21003+4801,21.006,48.018,5.84E-16
21032-0024,21.055,-0.414,1.67E-15
21035+5136,21.059,51.604,1.64E-15
21044-1637,21.075,-16.623,9.48E-16
21069-3843,21.116,-38.722,6.94E-16
21086+5238,21.144,52.646,2.91E-16
21088+6817,21.148,68.287,4.71E-15
21190+5140,21.318,51.678,2.38E-16
21206-4054,21.344,-40.916,4.39E-16
21243-6943,21.405,-69.724,8.51E-16
21245+6221,21.409,62.356,3.90E-16
21270+7135,21.451,71.598,4.21E-16
21286+1055,21.477,10.933,6.02E-16
21305+2118,21.509,21.306,1.81E-16
21312+5405,21.52,54.094,3.80E-16
21318+5631,21.531,56.52,8.00E-16
21320+3850,21.535,38.847,1.22E-15
21341+4508,21.569,45.149,2.21E-15
21368-3812,21.614,-38.214,2.70E-16
21373+4540,21.622,45.681,5.92E-16
21377+5042,21.63,50.714,4.69E-16
21377-0200,21.629,-2.013,3.35E-16
21383+4513,21.638,45.228,2.76E-16
21389+5405,21.649,54.095,7.90E-16
21399+3516,21.665,35.282,5.04E-16
21401+7354,21.67,73.906,1.01E-16
21417+0938,21.696,9.646,8.05E-16
21449+4950,21.749,49.836,3.31E-16
21453-4708,21.755,-47.146,1.68E-16
21456+6422,21.76,64.369,7.54E-16
21489+5301,21.816,53.023,3.76E-16
21543-1421,21.905,-14.351,3.63E-16
21552+6323,21.921,63.385,6.24E-16
21554+6204,21.925,62.073,3.16E-16
21558+5907,21.93,59.126,2.50E-16
21563+5630,21.939,56.508,3.50E-16
22017+2806,22.029,28.105,1.22E-15
22035+3506,22.059,35.104,1.13E-15
22091+5757,22.152,57.955,4.01E-16
22097+5647,22.163,56.791,8.81E-16
22142-8454,22.237,-84.916,6.95E-16
22150-6030,22.251,-60.511,5.82E-16
22165+4331,22.276,43.528,3.94E-16
22177+5936,22.295,59.604,6.41E-16
22190-0751,22.318,-7.861,3.77E-16
22196-4612,22.328,-46.202,5.28E-15
22212+5542,22.354,55.709,3.70E-16
22230-4841,22.383,-48.694,5.16E-16
22231-4529,22.386,-45.492,4.61E-16
22241+6005,22.402,60.092,8.78E-16
22264+5858,22.441,58.978,3.04E-16
22267-4400,22.446,-44.006,9.43E-16
22272+5435,22.454,54.595,2.47E-16
22280+1250,22.467,12.848,2.11E-16
22282+5644,22.471,56.743,2.67E-16
22303+5950,22.506,59.843,2.13E-16
22306+5510,22.511,55.176,2.42E-16
22317+5838,22.528,58.638,3.14E-16
22345+5809,22.576,58.166,5.30E-16
22456+5453,22.761,54.893,5.07E-16
22476+4047,22.795,40.785,6.58E-16
22512+6100,22.854,61.016,4.06E-16
22516+0838,22.861,8.637,4.75E-16
22518+6600,22.865,66.015,3.91E-16
22525-2952,22.876,-29.879,9.58E-16
22526+8446,22.878,84.779,2.14E-16
22540-5740,22.901,-57.667,5.89E-16
22585+6402,22.976,64.043,4.31E-16
23000+5932,23,59.549,2.23E-16
23013+2748,23.022,27.811,2.97E-15
23095+5925,23.159,59.428,4.64E-16
23134-7031,23.224,-70.525,6.55E-16
23138+6204,23.232,62.083,3.73E-16
23151+5912,23.252,59.207,3.66E-16
23166+1655,23.278,16.917,2.19E-15
23202+5901,23.338,59.033,4.05E-16
23213-4521,23.356,-45.358,4.85E-16
23284+5958,23.474,59.979,5.22E-16
23309+2213,23.516,22.221,5.24E-16
23320+4316,23.534,43.274,4.23E-15
23365+5159,23.61,51.984,4.91E-16
23416+6130,23.694,61.512,1.51E-15
23439+5412,23.732,54.208,2.05E-16
23491+6243,23.819,62.732,2.22E-16
23496+6131,23.827,61.526,1.25E-15
23528+4821,23.881,48.36,5.74E-16
23541+7031,23.902,70.526,4.12E-16
23564-5651,23.941,-56.854,4.84E-16